
ngram
category           1           2           3           4           5           6           7
threshold          7           4          12          13           9           7           9
precision   0.733906    0.843931    0.397441    0.562162    0.278336    0.547855    0.099142
recall      0.788018    0.498294    0.441974    0.818898    0.428256    0.617100    0.538860
F1          0.760000    0.626609    0.418526    0.666667    0.337391    0.580420    0.167472

word_importance
category	       1	       2	       3	       4	       5	       6	       7
threshold	      17	      10	      22	      21	      36	      11	       6
precision	0.623729	0.837104	0.498484	0.583691	0.301255	0.535411	0.278317
recall  	0.847926	0.631399	0.519404	0.856693	0.635762	0.702602	0.407583
F1      	0.718750	0.719844	0.508729	0.694320	0.408801	0.607717	0.330769

cross_entropy
category	       1	       2	       3	       4	       5	       6	       7
threshold	      17	      10	      24	      29	      22	      13	       7
precision	0.623729	0.837104	0.675180	0.620495	0.364296	0.538028	0.282958
recall  	0.847926	0.631399	0.465253	0.867717	0.554084	0.710037	0.417062
F1      	0.718750	0.719844	0.550895	0.723572	0.439580	0.612179	0.337165

